2025-10-08 21:06:47    绿光---红外光---红光
9.568059E+08 1.090257E+09 3.211725E+07
-5.618044E+07 1.336937E+09 1.945318E+07
1.359072E+09 9.057131E+08 4838664
-6.20687E+08 -1.064042E+09 1.23272E+08
-1.845323E+08 -2.088501E+09 -4208127
3.191926E+08 -3.821404E+08 2.400563E+07
-7.761089E+07 9.894639E+08 1.404109E+07
-2.097064E+09 1.677441E+09 3498500
5.369192E+08 -1.075904E+09 5.052724E+07
1.711278E+09 7.688028E+08 1.053044E+09
-1.499845E+08 3.566469E+08 2759680
8.22327E+07 1.111534E+08 1306624
8.053166E+08 1.158158E+09 415762
8.388657E+08 -9.984409E+08 3.28142E+08
7.046447E+08 6.193807E+08 -6.246326E+08
4.543199E+08 2.968781E+08 2394880
2.81593E+08 1.011274E+08 1132032
-5.536389E+08 8.400696E+08 390165
1.744835E+09 -9.461432E+08 3.594048E+08
3.355458E+08 5.653791E+08 -2.216709E+08
-1.18975E+09 2.70336E+08 2230272
4.015251E+08 9.726098E+07 1067008
1.107305E+09 2.115609E+09 389397
-1.308619E+09 -9.123921E+08 3.590132E+08
1.140852E+09 6.204293E+08 1.992977E+09
1.830095E+09 3.055944E+08 2550272
4.788579E+08 1.170526E+08 1297152
-5.200828E+08 -5.686457E+08 514579
